n_components,time taken in prediction,accuracy_score
1,0.39339303970336914,0.27285714285714285
2,0.39594030380249023,0.4222619047619048
3,0.42560744285583496,0.4851190476190476
4,0.4445321559906006,0.6195238095238095
5,0.8263266086578369,0.7297619047619047
6,0.9835107326507568,0.8188095238095238
7,0.8006627559661865,0.8666666666666667
8,1.002596139907837,0.8940476190476191
9,1.218299150466919,0.9075
10,2.311948299407959,0.9251190476190476
11,1.8051035404205322,0.9315476190476191
12,2.0579051971435547,0.9422619047619047
13,3.200094699859619,0.9492857142857143
14,2.656721353530884,0.9541666666666667
15,2.984602689743042,0.9541666666666667
16,2.6134226322174072,0.9585714285714285
17,1.5506870746612549,0.9614285714285714
18,1.5952575206756592,0.9623809523809523
19,1.766071081161499,0.9644047619047619
20,2.888139486312866,0.9654761904761905
21,1.6311869621276855,0.9665476190476191
22,1.6451425552368164,0.9682142857142857
23,2.6475584506988525,0.9695238095238096
24,1.7363591194152832,0.9704761904761905
25,1.7542150020599365,0.9703571428571428
26,3.0795249938964844,0.9708333333333333
27,1.7781767845153809,0.9705952380952381
28,1.792165756225586,0.9705952380952381
29,2.9563448429107666,0.971547619047619
30,1.9166357517242432,0.9716666666666667
31,1.8360702991485596,0.9725
32,3.097929000854492,0.9720238095238095
33,1.8155622482299805,0.9703571428571428
34,1.8254010677337646,0.9713095238095238
35,3.1774423122406006,0.9713095238095238
36,1.8910512924194336,0.9720238095238095
37,1.8934788703918457,0.9720238095238095
38,2.917393207550049,0.9720238095238095
39,1.9908156394958496,0.9722619047619048
40,2.029351234436035,0.9725
41,2.0005741119384766,0.9717857142857143
42,2.0381789207458496,0.9716666666666667
43,3.1429293155670166,0.9726190476190476
44,1.959118127822876,0.9722619047619048
45,2.0708627700805664,0.9719047619047619
46,2.809903144836426,0.9719047619047619
47,2.023961305618286,0.9729761904761904
48,3.540009021759033,0.9730952380952381
49,2.0503482818603516,0.9732142857142857
50,2.0757358074188232,0.9735714285714285
51,2.141024112701416,0.9728571428571429
52,2.0727484226226807,0.9728571428571429
53,3.3604984283447266,0.9727380952380953
54,2.2016279697418213,0.9725
55,2.762937068939209,0.9720238095238095
56,2.1017308235168457,0.9728571428571429
57,2.193175792694092,0.9728571428571429
58,2.3586809635162354,0.9728571428571429
59,2.2354681491851807,0.9722619047619048
60,3.694074869155884,0.9722619047619048
61,2.268955707550049,0.9723809523809523
62,3.42364764213562,0.9725
63,2.272167444229126,0.9720238095238095
64,2.5219125747680664,0.9725
65,2.2435290813446045,0.9727380952380953
66,2.249661445617676,0.9726190476190476
67,2.353278160095215,0.9720238095238095
68,2.310678243637085,0.9720238095238095
69,2.4263627529144287,0.9721428571428572
70,2.4302756786346436,0.9713095238095238
71,2.534529447555542,0.9714285714285714
72,2.390425682067871,0.9705952380952381
73,2.5857558250427246,0.9707142857142858
74,2.4007484912872314,0.9707142857142858
75,2.8580477237701416,0.9702380952380952
76,2.47761869430542,0.9707142857142858
77,2.624546527862549,0.9708333333333333
78,2.4297497272491455,0.9703571428571428
79,4.6136860847473145,0.9709523809523809
80,2.525174140930176,0.9711904761904762
81,3.724292755126953,0.9704761904761905
82,2.512772560119629,0.9709523809523809
83,2.5844831466674805,0.9710714285714286
84,2.5615036487579346,0.9705952380952381
85,2.629786252975464,0.9708333333333333
86,3.793010950088501,0.9710714285714286
87,2.655764579772949,0.9701190476190477
88,4.051603317260742,0.9702380952380952
89,2.599064826965332,0.9701190476190477
90,2.9464378356933594,0.97
91,3.109182357788086,0.9704761904761905
92,3.2697174549102783,0.9704761904761905
93,2.6663718223571777,0.9698809523809524
94,2.785877227783203,0.9696428571428571
95,2.769937038421631,0.97
96,2.7573318481445312,0.9703571428571428
97,2.7348415851593018,0.9696428571428571
98,2.775470495223999,0.9701190476190477
99,3.6060500144958496,0.9697619047619047
